# === G2 measurement record (immutable once written at setup — see docs/g2-preregistration.md §2) ===
# device_model:        Pixel 7 (panther, serial 32101FDH20035A)
# device_refresh_hz:   90 (active render mode 90.0 Hz, highest supported; frame budget = 1000/90 = 11.11 ms)
# device_soc:          Google Tensor G2 (GS201)
# device_ram_gb:       8 (MemTotal 7643344 kB)
# device_os_build:     Android 16, build CP1A.260405.005
# setup_date:          2026-08-07
# === rows below: one row per metric sample, schema per pre-registration §6 ===
# === O5 pairing: `run` is the pair key across the RN row and the Capacitor row of one attempt ===
# === O1/O2: raw frame-delta JSON archived at docs/g2-raw/<app>-run<NN>-<frame_source>.json; its SHA-256 in raw_sha256 ===
app,device,run,metric,value_ms,frames_total,frames_over_budget,frame_source,participant_id,order,outcome,failure_reason,raw_sha256
rn,pixel7,1,o1o2_frames_ui,11.09,575,0,ui,owner,,ok,,1d062c0035ade96144db69490db289043a0b195489a57e40db2fdbe74f338b23
rn,pixel7,1,o1o2_frames_js,17.61,565,7,js,owner,,ok,,1d062c0035ade96144db69490db289043a0b195489a57e40db2fdbe74f338b23
rn,pixel7,2,o1o2_frames_ui,11.09,578,0,ui,owner,,ok,,e0ffeb529cdfc4288e138d83923411ddfd921575b2a947c8d41a8012a151b674
rn,pixel7,2,o1o2_frames_js,14.65,576,6,js,owner,,ok,,e0ffeb529cdfc4288e138d83923411ddfd921575b2a947c8d41a8012a151b674
rn,pixel7,3,o1o2_frames_ui,11.09,584,0,ui,owner,,ok,,06979be4bff4d0a67618bd82564c43d57042b9d6bb0e6d774d1282b50d5e9611
rn,pixel7,3,o1o2_frames_js,14.74,580,5,js,owner,,ok,,06979be4bff4d0a67618bd82564c43d57042b9d6bb0e6d774d1282b50d5e9611
rn,pixel7,4,o1o2_frames_ui,11.09,576,0,ui,owner,,ok,,30051c255cf27413215bf97333badc284087e0262a16093c0a385bb6d56ec468
rn,pixel7,4,o1o2_frames_js,15.31,573,8,js,owner,,ok,,30051c255cf27413215bf97333badc284087e0262a16093c0a385bb6d56ec468
rn,pixel7,5,o1o2_frames_ui,11.09,573,0,ui,owner,,ok,,f02e6aa8631f1b6370ac15329af41eb99280891e594279490f1617625946533f
rn,pixel7,5,o1o2_frames_js,14.98,569,6,js,owner,,ok,,f02e6aa8631f1b6370ac15329af41eb99280891e594279490f1617625946533f
